lane1 det1;lane1 det2;lane1 det3;lane1 det4;lane2 det1;lane2 det2;lane2 det3;lane2 det4;lane3 det1;lane3 det2;lane3 det3;lane3 det4
92.2112;88.15519999999998;77.528;74.89439999999999;94.7968;95.82080000000002;80.1488;83.544;84.16159999999999;86.2624;72.03359999999999;75.37759999999999
92.23200000000001;88.1472;77.60480000000001;75.0208;94.6944;95.75679999999998;80.1456;83.5328;84.08;85.99520000000001;72.07679999999999;75.656
92.2784;88.1408;77.60480000000001;75.0;94.71520000000001;95.79519999999998;80.1472;83.47840000000001;84.104;86.16;72.05919999999999;75.66720000000001
92.2784;88.1408;77.60480000000001;75.0;94.7136;95.80319999999998;80.1472;83.47840000000001;84.104;86.16;72.0656;75.6656
92.32959999999999;88.28960000000001;77.6352;74.97279999999999;94.728;95.83999999999997;80.1792;83.4816;84.1392;86.12639999999999;72.0848;75.66879999999999
92.3152;88.2608;77.6352;74.97279999999999;94.728;95.8192;80.1792;83.45280000000001;84.0976;86.12639999999999;72.05279999999999;75.6448
92.2416;88.3008;77.68;74.99040000000001;94.704;95.88159999999999;80.16640000000001;83.4384;84.104;86.11200000000001;71.99680000000001;75.6448
92.21279999999999;88.36959999999999;77.5136;74.944;94.696;95.84480000000002;80.2752;83.4992;84.12799999999999;86.13439999999999;71.9904;75.71520000000001
92.1968;88.31040000000002;77.616;75.0048;94.7184;95.87359999999998;80.2032;83.45280000000001;84.07039999999999;86.1136;72.0096;75.6768
92.19040000000001;88.3696;77.4896;74.9248;94.696;95.84479999999999;80.232;83.4736;84.1024;86.1152;71.9904;75.71520000000001
92.272;88.304;77.6048;75.16159999999999;94.7536;95.89120000000001;80.20479999999999;83.6;84.17280000000001;86.1744;72.10560000000001;75.7664
92.17439999999999;88.2176;77.49119999999999;74.9136;94.66720000000001;95.7824;80.1728;83.5248;84.0608;86.08320000000002;71.8912;75.6816
92.23359999999998;88.2912;77.60799999999999;75.088;94.70240000000001;95.88640000000001;80.1728;83.552;84.1584;86.1344;72.0704;75.7408
92.2576;88.2912;77.60799999999999;75.1248;94.7648;95.89920000000002;80.20479999999999;83.59360000000001;84.1808;86.16;72.0992;75.7664
